INFO 2023-10-16 19:02:21,658 autoreload Watching for file changes with StatReloader
DEBUG 2023-10-16 19:02:21,658 autoreload Waiting for apps ready_event.
DEBUG 2023-10-16 19:02:21,763 autoreload Apps ready_event triggered. Sending autoreload_started signal.
DEBUG 2023-10-16 19:02:21,776 autoreload Watching dir /home/dell/Desktop/practice/myenv/lib/python3.8/site-packages/django_extensions/templates with glob **/*.
DEBUG 2023-10-16 19:02:21,776 autoreload Watching dir /home/dell/Desktop/practice/bookmanagement/templates with glob **/*.
DEBUG 2023-10-16 19:02:21,777 autoreload Watching dir /home/dell/Desktop/practice/myenv/lib/python3.8/site-packages/rest_framework/templates with glob **/*.
DEBUG 2023-10-16 19:02:21,777 autoreload Watching dir /home/dell/Desktop/practice/bookmanagement/locale with glob **/*.mo.
DEBUG 2023-10-16 19:02:21,777 autoreload Watching dir /home/dell/Desktop/practice/myenv/lib/python3.8/site-packages/rest_framework/locale with glob **/*.mo.
DEBUG 2023-10-16 19:02:21,777 autoreload Watching dir /home/dell/Desktop/practice/myenv/lib/python3.8/site-packages/rest_framework_simplejwt/locale with glob **/*.mo.
DEBUG 2023-10-16 19:02:21,778 autoreload Watching dir /home/dell/Desktop/practice/bookmanagement/library/locale with glob **/*.mo.
DEBUG 2023-10-16 19:02:21,778 autoreload Watching dir /home/dell/Desktop/practice/bookmanagement/products/locale with glob **/*.mo.
DEBUG 2023-10-16 19:02:21,784 autoreload Watching dir /home/dell/Desktop/practice/myenv/lib/python3.8/site-packages/django_extensions/locale with glob **/*.mo.
DEBUG 2023-10-16 19:02:21,827 utils (0.000) 
            SELECT name, type FROM sqlite_master
            WHERE type in ('table', 'view') AND NOT name='sqlite_sequence'
            ORDER BY name; args=None; alias=default
DEBUG 2023-10-16 19:02:21,831 utils (0.001) SELECT "django_migrations"."id", "django_migrations"."app", "django_migrations"."name", "django_migrations"."applied" FROM "django_migrations"; args=(); alias=default
DEBUG 2023-10-16 19:02:21,872 autoreload File /home/dell/Desktop/practice/myenv/lib/python3.8/site-packages/stripe/api_resources/login_link.py first seen with mtime 1697126740.9092834
DEBUG 2023-10-16 19:02:21,872 autoreload File /usr/lib/python3.8/fractions.py first seen with mtime 1685109908.0
DEBUG 2023-10-16 19:02:21,872 autoreload File /home/dell/Desktop/practice/myenv/lib/python3.8/site-packages/stripe/api_resources/treasury/transaction.py first seen with mtime 1697126740.9252794
DEBUG 2023-10-16 19:02:21,872 autoreload File /usr/lib/python3.8/base64.py first seen with mtime 1685109908.0
DEBUG 2023-10-16 19:02:21,872 autoreload File /home/dell/Desktop/practice/myenv/lib/python3.8/site-packages/charset_normalizer/api.py first seen with mtime 1694698661.7694132
DEBUG 2023-10-16 19:02:21,872 autoreload File /usr/lib/python3.8/dataclasses.py first seen with mtime 1685109908.0
DEBUG 2023-10-16 19:02:21,872 autoreload File /usr/lib/python3.8/signal.py first seen with mtime 1685109908.0
DEBUG 2023-10-16 19:02:21,872 autoreload File /home/dell/Desktop/practice/myenv/lib/python3.8/site-packages/sqlparse/engine/statement_splitter.py first seen with mtime 1693574585.4702594
DEBUG 2023-10-16 19:02:21,872 autoreload File /home/dell/Desktop/practice/myenv/lib/python3.8/site-packages/django/contrib/contenttypes/forms.py first seen with mtime 1693574585.8062203
DEBUG 2023-10-16 19:02:21,872 autoreload File /usr/lib/python3.8/multiprocessing/process.py first seen with mtime 1685109908.0
DEBUG 2023-10-16 19:02:21,873 autoreload File /usr/lib/python3.8/email/__init__.py first seen with mtime 1685109908.0
DEBUG 2023-10-16 19:02:21,873 autoreload File /usr/lib/python3.8/decimal.py first seen with mtime 1685109908.0
DEBUG 2023-10-16 19:02:21,873 autoreload File /home/dell/Desktop/practice/myenv/lib/python3.8/site-packages/django/db/models/deletion.py first seen with mtime 1693574585.9901989
DEBUG 2023-10-16 19:02:21,873 autoreload File /home/dell/Desktop/practice/myenv/lib/python3.8/site-packages/django/utils/formats.py first seen with mtime 1693574586.014196
DEBUG 2023-10-16 19:02:21,873 autoreload File /usr/lib/python3.8/_compat_pickle.py first seen with mtime 1685109908.0
DEBUG 2023-10-16 19:02:21,873 autoreload File /home/dell/Desktop/practice/myenv/lib/python3.8/site-packages/stripe/http_client.py first seen with mtime 1697126740.9052844
DEBUG 2023-10-16 19:02:21,873 autoreload File /home/dell/Desktop/practice/myenv/lib/python3.8/site-packages/django/contrib/contenttypes/__init__.py first seen with mtime 1693574585.8062203
DEBUG 2023-10-16 19:02:21,873 autoreload File /home/dell/Desktop/practice/myenv/lib/python3.8/site-packages/stripe/api_resources/issuing/__init__.py first seen with mtime 1697126740.9212804
DEBUG 2023-10-16 19:02:21,873 autoreload File /home/dell/Desktop/practice/myenv/lib/python3.8/site-packages/django/core/serializers/python.py first seen with mtime 1693574585.9782002
DEBUG 2023-10-16 19:02:21,873 autoreload File /usr/lib/python3.8/email/mime/multipart.py first seen with mtime 1685109908.0
DEBUG 2023-10-16 19:02:21,873 autoreload File /usr/lib/python3.8/tokenize.py first seen with mtime 1685109908.0
DEBUG 2023-10-16 19:02:21,873 autoreload File /usr/lib/python3.8/encodings/latin_1.py first seen with mtime 1685109908.0
DEBUG 2023-10-16 19:02:21,873 autoreload File /home/dell/Desktop/practice/myenv/lib/python3.8/site-packages/stripe/api_resources/customer_cash_balance_transaction.py first seen with mtime 1697126740.9092834
DEBUG 2023-10-16 19:02:21,873 autoreload File /home/dell/Desktop/practice/myenv/lib/python3.8/site-packages/django/contrib/sites/requests.py first seen with mtime 1693574585.9502034
DEBUG 2023-10-16 19:02:21,873 autoreload File /home/dell/Desktop/practice/myenv/lib/python3.8/site-packages/rest_framework/authtoken/__init__.py first seen with mtime 1694439589.1056967
DEBUG 2023-10-16 19:02:21,873 autoreload File /home/dell/Desktop/practice/myenv/lib/python3.8/site-packages/django/db/models/lookups.py first seen with mtime 1693574585.9901989
